raw_row_number,attendance_id,column,error_type,expected_action
1,ATT008300,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
3,ATT003520,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
4,ATT007712,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
6,ATT001967,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
10,ATT004725,gp_practice_code,malformed_gp_code,set to NULL and flag
12,ATT012216,departure_time,departure_before_arrival,reject
14,ATT010120,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
16,ATT019369,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
16,ATT019369,gp_practice_code,missing_gp_code,set to NULL and flag
17,ATT001273,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
23,ATT006020,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
24,ATT005993,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
34,ATT017817,gp_practice_code,gp_code_lowercase,fix (upper-case)
39,ATT008929,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
41,ATT019864,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
42,ATT011710,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
43,ATT011942,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
45,ATT007976,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
48,ATT009211,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
51,ATT000209,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
51,ATT000209,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
53,ATT018688,departure_time,departure_before_arrival,reject
54,ATT008353,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
54,ATT008353,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
55,ATT009774,gp_practice_code,malformed_gp_code,set to NULL and flag
56,ATT013746,departure_time,missing_departure_time,reject
56,ATT013746,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
58,ATT006686,arrival_time,missing_arrival_time,reject
66,ATT015567,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
66,ATT015567,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
67,ATT006915,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
68,ATT002113,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
70,ATT013556,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
70,ATT013556,gp_practice_code,missing_gp_code,set to NULL and flag
71,ATT019266,gp_practice_code,missing_gp_code,set to NULL and flag
71,ATT019266,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
73,ATT015570,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
79,ATT005648,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
82,ATT009154,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
85,ATT019270,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
87,ATT002880,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
90,ATT010357,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
90,ATT010357,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
93,ATT007835,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
100,ATT002894,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
101,ATT006825,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
103,ATT012478,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
103,ATT012478,gp_practice_code,malformed_gp_code,set to NULL and flag
104,ATT015048,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
104,ATT015048,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
106,ATT000961,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
110,ATT019681,presenting_complaint,missing_presenting_complaint,fill with 'Unknown'
118,ATT017498,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
118,ATT017498,disposition,inconsistent_text_format,"fix (trim spaces, standardise case)"
120,ATT015905,gp_practice_code,missing_gp_code,set to NULL and flag
126,ATT015802,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
126,ATT015802,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
127,ATT019816,departure_time,departure_before_arrival,reject
128,ATT019053,presenting_complaint,inconsistent_text_format,"fix (trim spaces, standardise case)"
136,ATT009943,departure_time,departure_before_arrival,reject
141,ATT014849,"arrival_time, departure_time",mixed_date_format,fix (parse into one timestamp format)
